customer_id,fico_score,fico_rating
8153374,605,4
7442532,572,5
2256073,602,4
4885975,612,4
4700614,631,3
4661159,697,1
8291909,722,1
4616950,545,5
3395789,676,2
4045948,447,5
1946105,640,3
7026356,636,3
3555143,527,5
1852525,638,3
2436643,616,4
1089094,644,3
2618670,606,4
4841253,727,1
4522930,627,3
2999053,581,5
2723215,667,2
1467134,480,5
4754857,677,2
4039149,726,1
8521446,596,4
1279600,605,4
7269476,636,3
2289318,642,3
6552907,596,4
8753437,667,2
4320547,580,5
5451200,697,1
6325220,542,5
6037431,668,2
3258404,787,1
4529904,673,2
4756862,609,4
2671353,541,5
8919468,560,5
7240623,607,4
7096072,631,3
6645305,746,1
8551890,530,5
7602707,615,4
4951943,552,5
6288882,606,4
4382360,599,4
4144487,679,2
1629547,603,4
2948051,764,1
1237675,736,1
7125694,751,1
1113748,610,4
2512418,663,2
7678486,737,1
5161636,629,3
7365670,689,1
6381573,587,5
3238472,692,1
3252127,706,1
8571897,515,5
1444612,702,1
6562873,638,3
6714332,612,4
3087069,583,5
8010926,720,1
6551322,607,4
3672265,750,1
3068840,662,2
6031818,563,5
6410292,611,4
2195286,754,1
2483066,663,2
8380627,709,1
8926016,576,5
1729821,611,4
8935419,669,2
7713931,612,4
2593152,720,1
4265770,589,4
6694674,578,5
2878530,652,3
1760607,687,2
1083392,633,3
2548560,569,5
7517038,657,2
3279204,754,1
7787477,642,3
3467139,708,1
8989969,627,3
4618641,745,1
3879675,685,2
2338819,679,2
8127530,697,1
2559477,603,4
5699479,555,5
4675595,687,2
2061413,625,3
7431458,581,5
1638898,633,3
8711328,622,4
3866572,610,4
6610306,584,5
3291949,628,3
5500676,724,1
6789710,620,4
5006585,563,5
7586510,678,2
3578717,602,4
7772698,672,2
7362864,724,1
4085765,626,3
3700938,749,1
2691552,582,5
4418770,693,1
4240531,632,3
2463684,655,2
7987506,693,1
1069228,721,1
6043209,710,1
3696341,541,5
7164264,587,5
2056764,581,5
8838592,572,5
1333173,706,1
8044249,582,5
7513697,710,1
6855647,705,1
7705484,672,2
8353705,568,5
2438598,511,5
4697237,640,3
5606201,709,1
8657174,707,1
7945285,651,3
8544432,662,2
6299123,766,1
5785982,692,1
3913463,590,4
5689764,657,2
3781641,592,4
8759358,718,1
2306791,720,1
1581185,636,3
6093138,654,2
8578451,513,5
3365880,587,5
2293998,671,2
7427998,655,2
4587569,609,4
7648411,641,3
7844104,621,4
2786846,658,2
8633630,594,4
8050047,622,4
6048680,636,3
4922734,603,4
1454794,619,4
7101821,646,3
4260463,533,5
5918490,672,2
2280203,598,4
4205161,726,1
4765821,641,3
5369590,669,2
1680523,556,5
1118848,659,2
5749285,735,1
6744637,571,5
4991477,509,5
2616205,626,3
2007934,678,2
6889981,634,3
6238176,657,2
5820678,637,3
7946965,684,2
2877561,692,1
7047567,723,1
7069051,562,5
5449669,713,1
2081349,598,4
4580778,584,5
7636397,651,3
5291335,626,3
5567448,583,5
4289123,674,2
1961905,633,3
4612284,559,5
8584572,684,2
2373091,735,1
4267324,636,3
1269925,756,1
2882473,653,3
3357892,685,2
7617481,682,2
2553234,774,1
7890012,697,1
2165351,614,4
6733204,584,5
5096588,641,3
6528734,643,3
2021963,680,2
5423923,679,2
3772158,563,5
1067669,742,1
4744929,532,5
4906003,607,4
4981578,686,2
5001814,634,3
2440434,730,1
1273611,545,5
8373345,531,5
7431518,697,1
3215472,677,2
5557443,656,2
1030143,634,3
2906359,751,1
7285064,645,3
4058072,587,5
3002299,555,5
4792678,556,5
1335117,648,3
3783531,562,5
7258185,596,4
3859923,554,5
6665216,667,2
5851653,632,3
1737356,525,5
3611286,649,3
4570465,587,5
6383101,712,1
6928881,667,2
6990394,645,3
3118724,646,3
5864535,606,4
3224310,598,4
2135773,612,4
3498275,490,5
5627376,635,3
6894544,694,1
8038807,686,2
5136010,655,2
5894894,521,5
5183117,672,2
2168984,533,5
8919556,673,2
